abundancia,strongsubj,negative
abundante,strongsubj,positive
adecuado,strongsubj,positive
admirable,strongsubj,positive
adorar,strongsubj,positive
agitacion,strongsubj,negative
agotamiento,strongsubj,negative
agradable,strongsubj,positive
agudo,strongsubj,negative
alerta,strongsubj,positive
amenaza,strongsubj,negative
apreciado,strongsubj,positive
apropiado,strongsubj,positive
aviso,strongsubj,negative
belleza,strongsubj,positive
bueno,strongsubj,positive
burla,strongsubj,negative
calvario,strongsubj,negative
cansancio,strongsubj,negative
censura,strongsubj,negative
confianza,strongsubj,positive
confusion,strongsubj,negative
contento,strongsubj,positive
conveniente,strongsubj,positive
correccion,strongsubj,positive
corrupcion,strongsubj,negative
cortes,strongsubj,positive
criterio,strongsubj,positive
crueldad,strongsubj,negative
curioso,strongsubj,negative
desconocido,strongsubj,negative
destacable,strongsubj,positive
dictadura,strongsubj,negative
diestro,strongsubj,positive
dificil,strongsubj,negative
dificultad,strongsubj,negative
digno,strongsubj,positive
educado,strongsubj,positive
entusiasmo,strongsubj,positive
erupcion,strongsubj,negative
estima,strongsubj,positive
estimulante,strongsubj,positive
estricto,strongsubj,negative
facultades,strongsubj,positive
feroz,strongsubj,negative
fijacion,strongsubj,negative
funcional,strongsubj,positive
gasto,strongsubj,negative
gozo,strongsubj,positive
gravedad,strongsubj,negative
ilegal,strongsubj,negative
imperial,strongsubj,positive
inestable,strongsubj,negative
letal,strongsubj,negative
magnifico,strongsubj,positive
maldicion,strongsubj,negative
mancha,strongsubj,negative
miseria,strongsubj,negative
misterioso,strongsubj,negative
obediencia,strongsubj,positive
opresion,strongsubj,negative
optimista,strongsubj,positive
oscuro,strongsubj,negative
pacifico,strongsubj,positive
parasito,strongsubj,negative
parcial,strongsubj,positive
parodia,strongsubj,negative
pasado,strongsubj,negative
peor,strongsubj,negative
perfeccion,strongsubj,positive
pesado,strongsubj,negative
placido,strongsubj,positive
plaga,strongsubj,negative
pleito,strongsubj,negative
pobre,strongsubj,negative
poetico,strongsubj,positive
potente,strongsubj,positive
predominante,strongsubj,positive
preocupado,strongsubj,negative
preservacion,strongsubj,positive
prestigio,strongsubj,positive
presto,strongsubj,positive
propicio,strongsubj,positive
rendimiento,strongsubj,negative
renovacion,strongsubj,positive
renuncia,strongsubj,negative
reposo,strongsubj,positive
resistente,strongsubj,positive
riguroso,strongsubj,negative
sabio,strongsubj,positive
sabor,strongsubj,positive
salvacion,strongsubj,positive
salvaje,strongsubj,negative
sonrisa,strongsubj,positive
superficial,strongsubj,negative
tirania,strongsubj,negative
toxico,strongsubj,negative
vacio,strongsubj,negative
valioso,strongsubj,positive
viable,strongsubj,positive
abandonar,strongsubj,negative
abandono,strongsubj,negative
abarrotado,strongsubj,negative
abatir,strongsubj,negative
abierto,strongsubj,positive
abominable,strongsubj,negative
abominacion,strongsubj,negative
abominar,strongsubj,negative
aborrecer,strongsubj,negative
aborrecible,strongsubj,negative
aborrecimiento,strongsubj,negative
aborto,strongsubj,negative
abrasador,strongsubj,negative
abrumar,strongsubj,negative
absolutismo,strongsubj,negative
absurdo,strongsubj,negative
abundoso,strongsubj,positive
aburrido,strongsubj,negative
acabado,strongsubj,negative
acaudalado,strongsubj,positive
acertado,strongsubj,positive
achaque,strongsubj,negative
achispado,strongsubj,negative
acibarar,strongsubj,negative
acido,strongsubj,negative
aclamacion,strongsubj,positive
acobardar,strongsubj,negative
acogedor,strongsubj,positive
acosar,strongsubj,negative
acre,strongsubj,negative
acusacion,strongsubj,negative
acusar,strongsubj,negative
adinerado,strongsubj,positive
admiracion,strongsubj,positive
admonitorio,strongsubj,negative
adorable,strongsubj,positive
adusto,strongsubj,negative
adversidad,strongsubj,negative
advertencia,strongsubj,negative
afable,strongsubj,positive
afan,strongsubj,negative
afeccion,strongsubj,negative
afecto,strongsubj,positive
afectuoso,strongsubj,positive
afeminado,strongsubj,negative
affaire,strongsubj,positive
aficion,strongsubj,positive
afirmar,strongsubj,positive
afirmativo,strongsubj,positive
afliccion,strongsubj,negative
afligido,strongsubj,negative
afortunado,strongsubj,positive
afrenta,strongsubj,negative
afrontar,strongsubj,negative
agitado,strongsubj,negative
agitar,strongsubj,negative
agobiante,strongsubj,negative
agravamiento,strongsubj,negative
agravar,strongsubj,negative
agrio,strongsubj,negative
agudeza,strongsubj,negative
ahuecamiento,strongsubj,negative
ajustar,strongsubj,positive
alboroto,strongsubj,negative
alborozar,strongsubj,positive
alborozo,strongsubj,positive
alcoholico,strongsubj,negative
alcornoque,strongsubj,negative
alegre,strongsubj,positive
alegria,strongsubj,positive
alentar,strongsubj,positive
alfilerazo,strongsubj,negative
algazara,strongsubj,positive
aliado,strongsubj,positive
alifafe,strongsubj,negative
alimenticio,strongsubj,positive
alivio,strongsubj,positive
alocado,strongsubj,negative
altaneria,strongsubj,negative
altanero,strongsubj,negative
altivez,strongsubj,negative
altiveza,strongsubj,negative
altivo,strongsubj,negative
altruista,strongsubj,positive
amable,strongsubj,positive
amado,strongsubj,positive
amargar,strongsubj,negative
amargo,strongsubj,negative
amargura,strongsubj,negative
ambicion,strongsubj,positive
amenazador,strongsubj,negative
ameno,strongsubj,positive
amigable,strongsubj,positive
amistoso,strongsubj,positive
amonestar,strongsubj,negative
angelical,strongsubj,positive
angelico,strongsubj,positive
angustia,strongsubj,negative
angustiado,strongsubj,negative
angustioso,strongsubj,negative
animado,strongsubj,positive
animal,strongsubj,negative
animar,strongsubj,positive
animosidad,strongsubj,negative
aniquilacion,strongsubj,negative
aniquilamiento,strongsubj,negative
ansia,strongsubj,negative
ansiedad,strongsubj,negative
ansioso,strongsubj,positive
antagonico,strongsubj,negative
antediluviano,strongsubj,negative
anticuado,strongsubj,negative
antiguo,strongsubj,negative
antipatico,strongsubj,negative
antitetico,strongsubj,negative
anular,strongsubj,negative
apacible,strongsubj,positive
apasionado,strongsubj,positive
apasionante,strongsubj,positive
apenado,strongsubj,negative
apesadumbrado,strongsubj,negative
aplauso,strongsubj,positive
apocar,strongsubj,negative
apoderarse,strongsubj,negative
aprension,strongsubj,negative
apretura,strongsubj,negative
aprieto,strongsubj,negative
apto,strongsubj,positive
apuesto,strongsubj,positive
apuro,strongsubj,negative
aranazo,strongsubj,negative
ardiente,strongsubj,positive
ardor,strongsubj,positive
arisco,strongsubj,negative
arpia,strongsubj,negative
arrancar,strongsubj,negative
arranque,strongsubj,positive
arrebatamiento,strongsubj,positive
arrebatar,strongsubj,positive
arrebato,strongsubj,positive
arrepentirse,strongsubj,positive
arriesgado,strongsubj,negative
arriesgar,strongsubj,negative
arrobamiento,strongsubj,positive
arrobar,strongsubj,positive
arrogancia,strongsubj,negative
arrogante,strongsubj,negative
arrojado,strongsubj,positive
arruinar,strongsubj,negative
arte,strongsubj,positive
artero,strongsubj,negative
artificial,strongsubj,negative
ascendente,strongsubj,positive
asco,strongsubj,negative
asegurar,strongsubj,positive
asesino,strongsubj,negative
asimetria,strongsubj,negative
asombrar,strongsubj,negative
asombroso,strongsubj,positive
aspiracion,strongsubj,positive
asqueado,strongsubj,negative
asquear,strongsubj,negative
asqueroso,strongsubj,negative
astuto,strongsubj,positive
asunto,strongsubj,positive
asustar,strongsubj,negative
atencion,strongsubj,positive
atento,strongsubj,positive
atolladero,strongsubj,negative
atormentar,strongsubj,negative
atractivo,strongsubj,positive
atrayente,strongsubj,positive
atrevido,strongsubj,positive
atrevimiento,strongsubj,negative
atribulacion,strongsubj,negative
atrocidad,strongsubj,negative
atroz,strongsubj,negative
aturdir,strongsubj,negative
aturrullar,strongsubj,negative
audaz,strongsubj,positive
austero,strongsubj,negative
autentico,strongsubj,positive
autoritarismo,strongsubj,negative
autorizacion,strongsubj,positive
aventajar,strongsubj,positive
aventura,strongsubj,positive
aversion,strongsubj,negative
bacanal,strongsubj,negative
bajo,strongsubj,negative
bajon,strongsubj,negative
baladron,strongsubj,negative
barbaridad,strongsubj,negative
barbarie,strongsubj,negative
barbaro,strongsubj,negative
barrila,strongsubj,negative
basto,strongsubj,negative
basura,strongsubj,negative
befa,strongsubj,negative
belico,strongsubj,negative
belicoso,strongsubj,negative
bellaco,strongsubj,negative
bello,strongsubj,positive
bendecir,strongsubj,positive
beneficio,strongsubj,positive
beneficioso,strongsubj,positive
benefico,strongsubj,positive
benevolencia,strongsubj,positive
benevolente,strongsubj,positive
benevolo,strongsubj,positive
berenjenal,strongsubj,negative
bestia,strongsubj,negative
bestial,strongsubj,negative
bienaventuranza,strongsubj,positive
bienestar,strongsubj,positive
bizarro,strongsubj,positive
bobo,strongsubj,negative
bocon,strongsubj,negative
bombon,strongsubj,positive
bonito,strongsubj,positive
borracho,strongsubj,negative
botarate,strongsubj,negative
braveza,strongsubj,negative
bravucon,strongsubj,negative
bravura,strongsubj,negative
brega,strongsubj,negative
brillante,strongsubj,positive
brillantez,strongsubj,positive
bronca,strongsubj,negative
brote,strongsubj,negative
bruja,strongsubj,negative
brutal,strongsubj,negative
buen,strongsubj,positive
bullanguero,strongsubj,negative
bullicio,strongsubj,negative
bunuelo,strongsubj,negative
burlar,strongsubj,negative
burro,strongsubj,negative
caballeria,strongsubj,positive
caballerosidad,strongsubj,positive
cabezota,strongsubj,negative
cabreado,strongsubj,negative
caca,strongsubj,negative
cacao,strongsubj,negative
cagada,strongsubj,negative
cagarria,strongsubj,negative
caida,strongsubj,negative
calamidad,strongsubj,negative
calamitoso,strongsubj,negative
calavera,strongsubj,negative
calido,strongsubj,positive
calmado,strongsubj,positive
calmo,strongsubj,positive
calvatrueno,strongsubj,negative
camorra,strongsubj,negative
camorrista,strongsubj,negative
candido,strongsubj,positive
cantada,strongsubj,negative
cante,strongsubj,negative
caos,strongsubj,negative
capaz,strongsubj,positive
capital,strongsubj,positive
caradura,strongsubj,negative
cardenal,strongsubj,negative
carecer,strongsubj,positive
carga,strongsubj,negative
cargante,strongsubj,negative
carinoso,strongsubj,positive
carniceria,strongsubj,negative
caro,strongsubj,negative
cascarrabias,strongsubj,negative
castigo,strongsubj,negative
casual,strongsubj,positive
cataclismo,strongsubj,negative
catastrofe,strongsubj,negative
catastrofico,strongsubj,negative
caucion,strongsubj,negative
caustico,strongsubj,negative
cautivador,strongsubj,positive
cautivar,strongsubj,positive
ceder,strongsubj,negative
celebracion,strongsubj,positive
celebrar,strongsubj,positive
celebre,strongsubj,positive
censurar,strongsubj,negative
ceporro,strongsubj,negative
cernicalo,strongsubj,negative
certero,strongsubj,positive
cese,strongsubj,positive
chachi,strongsubj,negative
chalado,strongsubj,negative
charro,strongsubj,negative
chasco,strongsubj,negative
chic,strongsubj,positive
chiflado,strongsubj,negative
chillon,strongsubj,negative
